data,usd_brl,ibovespa,dxy,vix,petroleo_wti,soja,selic,embi_brasil,ipca_mensal,usd_brl_retorno,usd_brl_volatilidade,ipca_acumulado_12m
2016-05-31,3.5673999786376958,48472.0,95.88999938964844,14.1899995803833,49.09999847412109,1078.5,14.25,404.0,0.78,0.025203289911832405,0.05909333895105539,8.950000000000001
2016-06-30,3.237600088119507,51527.0,96.13999938964844,15.630000114440918,48.33000183105469,1175.0,14.25,350.0,0.35,-0.09244825152578817,0.05883022642201679,8.51
2016-07-31,3.281899929046631,57308.0,95.52999877929688,11.869999885559082,41.59999847412109,1032.5,14.25,339.0,0.52,0.013682925537864987,0.06485680476104473,8.41
2016-08-31,3.236799955368042,57901.0,96.0199966430664,13.420000076293944,44.70000076293945,960.0,14.25,309.0,0.44,-0.01374203194906376,0.055091778028631355,8.63
2016-09-30,3.259299993515014,58367.0,95.45999908447266,13.289999961853027,48.2400016784668,954.0,14.25,319.0,0.08,0.006951321816986988,0.014292525271983533,8.17
2016-10-31,3.2030999660491943,64925.0,98.4499969482422,17.059999465942383,46.86000061035156,1002.25,14.0,313.0,0.26,-0.01724297474231895,0.013075648336559529,7.609999999999999
2016-11-30,3.4537999629974365,61906.0,101.5,13.329999923706056,49.43999862670898,1032.25,14.0,337.0,0.18,0.07826792782164205,0.04965506819819655,6.779999999999999
2016-12-31,3.2523000240325928,60227.0,102.38999938964844,14.039999961853027,53.720001220703125,996.5,13.75,328.0,0.3,-0.05834151981111513,0.07008752159250765,6.12
2017-01-31,3.125499963760376,64671.0,99.51000213623048,11.989999771118164,52.810001373291016,1024.5,13.0,289.0,0.38,-0.038987811498090164,0.07392069580684614,5.23
2017-02-28,3.105299949645996,66662.0,101.12000274658205,12.920000076293944,54.0099983215332,1025.0,12.25,286.0,0.33,-0.006462970516267985,0.026216455339145177,4.66
2017-03-31,3.147700071334839,64984.0,100.3499984741211,12.369999885559082,50.59999847412109,946.0,12.25,270.0,0.25,0.013654114699507947,0.026563555209675835,4.48
2017-04-30,3.1810998916625977,65403.0,99.0500030517578,10.81999969482422,49.33000183105469,945.25,11.25,263.0,0.14,0.010610864939744724,0.010843387722924997,4.01
2017-05-31,3.256200075149536,62711.0,96.91999816894533,10.40999984741211,48.31999969482422,916.0,11.25,284.0,0.31,0.0236082443320218,0.00679801364257694,3.54
2017-06-30,3.3027000427246094,62900.0,95.66000366210938,11.18000030517578,46.040000915527344,942.25,10.25,289.0,-0.23,0.014280439316351812,0.006700815790914235,2.96
2017-07-31,3.1777000427246094,65920.0,92.86000061035156,10.260000228881836,50.16999816894531,994.5,9.25,268.0,0.24,-0.03784782098978612,0.0331190062094088,2.6799999999999997
2017-08-31,3.158799886703491,70835.0,92.66999816894533,10.59000015258789,47.22999954223633,936.25,9.25,272.0,0.19,-0.005947747039369067,0.02628101267654503,2.43
2017-09-30,3.1809000968933105,74294.0,93.08000183105467,9.510000228881836,51.66999816894531,968.25,8.25,247.0,0.16,0.006996394511360693,0.023080183355859995,2.51
2017-10-31,3.287300109863281,74308.0,94.5500030517578,10.18000030517578,54.380001068115234,973.75,7.5,243.0,0.42,0.03344965567258407,0.020081007473883646,2.67
2017-11-30,3.244800090789795,71971.0,93.01000213623048,11.279999732971191,57.400001525878906,985.75,7.5,241.0,0.28,-0.01292854855142922,0.023265554686286723,2.77
2017-12-31,3.311100006103516,76402.0,92.12000274658205,11.039999961853027,60.41999816894531,951.75,7.0,240.0,0.44,0.020432665636909375,0.023921226518001874,2.91
2018-01-31,3.179500102996826,84913.0,89.12999725341797,13.539999961853027,64.7300033569336,995.75,7.0,227.0,0.29,-0.03974507047932874,0.030148124276935563,2.8200000000000003
2018-02-28,3.248500108718872,85481.0,90.61000061035156,19.850000381469727,61.63999938964844,1045.0,6.75,236.0,0.32,0.02170152649374346,0.035115652282898854,2.81
2018-03-31,3.303499937057495,85366.0,90.1500015258789,19.96999931335449,64.94000244140625,1044.75,6.5,248.0,0.09,0.016930837770639195,0.0341823597937657,2.6500000000000004
2018-04-30,3.4581000804901123,86115.0,91.83999633789062,15.93000030517578,68.56999969482422,1037.75,6.5,250.0,0.22,0.04679889401491044,0.016045446452686726,2.73
2018-05-31,3.722100019454956,76754.0,93.98999786376952,15.43000030517578,67.04000091552734,1018.5,6.5,307.0,0.4,0.07634248079003747,0.029705969180213638,2.82
2018-06-30,3.859499931335449,72763.0,94.62999725341795,16.09000015258789,74.1500015258789,858.5,6.5,332.0,1.26,0.03691462109086818,0.020514541554849088,4.3100000000000005
2018-07-31,3.728100061416626,79220.0,94.48999786376952,12.829999923706056,68.76000213623047,903.75,6.5,267.0,0.33,-0.03404582776436449,0.05593972960203882,4.3999999999999995
2018-08-31,4.148600101470947,76678.0,95.13999938964844,12.859999656677246,69.80000305175781,833.0,6.5,345.0,-0.09,0.11279204772592322,0.07343265719123823,4.12
2018-09-30,4.01200008392334,79342.0,95.19000244140624,12.119999885559082,73.25,845.5,6.5,293.0,0.48,-0.032926773901194695,0.0844556973965697,4.44
2018-10-31,3.694600105285645,87424.0,97.12999725341795,21.229999542236328,65.30999755859375,839.0,6.5,260.0,0.45,-0.07911265503447074,0.10016197343470563,4.470000000000001
2018-11-30,3.8510000705718994,89504.0,97.2699966430664,18.06999969482422,50.93000030517578,894.75,6.5,270.0,-0.21,0.04233204158211934,0.06129959116272611,3.98
2018-12-31,3.874200105667114,87887.0,96.16999816894533,25.420000076293945,45.40999984741211,882.5,6.5,276.0,0.15,0.006024418247223995,0.062336959469612804,3.69
2019-01-31,3.6814000606536874,97394.0,95.58000183105467,16.56999969482422,53.790000915527344,915.25,6.5,238.0,0.32,-0.04976512305892555,0.04639073931705717,3.72
2019-02-28,3.727299928665161,95584.0,96.16000366210938,14.779999732971191,57.220001220703125,897.5,6.5,235.0,0.43,0.012468046736361371,0.03422221668747169,3.83
2019-03-31,3.897700071334839,95415.0,97.27999877929688,13.710000038146973,60.13999938964844,884.25,6.5,253.0,0.75,0.04571677780990968,0.04846861344261222,4.49
2019-04-30,3.944299936294556,96353.0,97.4800033569336,13.119999885559082,63.90999984741211,841.25,6.5,252.0,0.57,0.0119557339217633,0.01934575175948831,4.84
2019-05-31,3.9800000190734863,97030.0,97.75,18.709999084472656,53.5,877.75,6.5,274.0,0.13,0.009051056804891155,0.02038226488227968,4.569999999999999
2019-06-30,3.815999984741211,100967.0,96.12999725341795,15.079999923706056,58.470001220703125,899.75,6.5,239.0,0.01,-0.041206038579480575,0.02988976090319538,3.32
2019-07-31,3.789299964904785,101812.0,98.5199966430664,16.1200008392334,58.58000183105469,864.0,6.5,212.0,0.19,-0.006996860572114572,0.02566962909923155,3.1799999999999997
2019-08-31,4.168099880218506,101135.0,98.91999816894533,18.979999542236328,55.09999847412109,857.0,6.0,248.0,0.11,0.09996567144909019,0.07364407967686852,3.38
2019-09-30,4.157100200653076,104745.0,99.37999725341795,16.239999771118164,54.06999969482422,906.0,5.5,247.0,-0.04,-0.0026390153502878766,0.0605360716495588,2.8600000000000003
2019-10-31,3.9862000942230233,107220.0,97.3499984741211,13.220000267028809,54.18000030517578,916.75,5.0,240.0,0.1,-0.041110413071882346,0.07292716894228576,2.5100000000000002
2019-11-30,4.188000202178955,108233.0,98.2699966430664,12.619999885559082,55.16999816894531,876.75,5.0,239.0,0.51,0.05062468094574313,0.046065889875610964,3.23
2019-12-31,4.015710830688477,115964.0,96.38999938964844,13.779999732971191,61.060001373291016,943.0,4.5,214.0,1.15,-0.04113881642146022,0.05297148246971128,4.23
2020-01-31,4.242199897766113,113761.0,97.38999938964844,18.84000015258789,51.560001373291016,872.5,4.5,225.0,0.21,0.05640074114569793,0.054723346040014734,4.12
2020-02-29,4.484799861907959,104172.0,98.12999725341795,40.11000061035156,44.7599983215332,883.5,4.25,252.0,0.25,0.05718730139746486,0.05654291793668437,3.94
2020-03-31,5.192699909210205,73020.0,99.0500030517578,53.540000915527344,20.479999542236328,886.0,3.75,389.0,0.07,0.15784428939959105,0.05834272504353012,3.26
2020-04-30,5.334799766540527,80506.0,99.0199966430664,34.150001525878906,18.84000015258789,850.25,3.75,422.0,-0.31,0.02736531280736676,0.06836902755108033,2.38
2020-05-31,5.403600215911865,87403.0,98.33999633789062,27.51000022888184,35.4900016784668,840.75,3.0,392.0,-0.38,0.012896538273629243,0.07983729216927814,1.8699999999999997
2020-06-30,5.402100086212158,95056.0,97.38999938964844,30.43000030517578,39.27000045776367,884.25,2.25,380.0,0.26,-0.00027761670733705834,0.013826516481779502,2.12
2020-07-31,5.153900146484375,102912.0,93.48999786376952,24.459999084472656,40.27000045776367,897.5,2.25,334.0,0.36,-0.04594508353543225,0.030879908093230872,2.29
2020-08-31,5.389999866485596,99369.0,92.13999938964844,26.40999984741211,42.61000061035156,951.25,2.0,319.0,0.24,0.04580991352001096,0.045877658785070746,2.42
2020-09-30,5.630499839782715,94603.0,93.88999938964844,26.3700008392334,40.220001220703125,1023.5,2.0,343.0,0.64,0.04461966219934821,0.05263454086569666,3.1
2020-10-31,5.7778000831604,93952.0,94.04000091552734,38.02000045776367,35.790000915527344,1056.5,2.0,318.0,0.86,0.02616113090651817,0.011016720125087103,3.86
2020-11-30,5.34250020980835,108888.0,91.87000274658205,20.56999969482422,45.34000015258789,1168.5,2.0,275.0,0.89,-0.07534007184165947,0.06459301991186088,4.239999999999999
2020-12-31,5.190838813781738,119306.0,89.94000244140625,22.75,48.52000045776367,1315.25,2.0,260.0,1.35,-0.028387719245789533,0.05079795702347435,4.44
2021-01-31,5.437989234924316,116007.0,90.58000183105467,33.09000015258789,52.20000076293945,1370.0,2.0,288.0,0.25,0.04761280979990956,0.06204570215236336,4.48
2021-02-28,5.528025150299072,110035.0,90.93000030517578,27.950000762939453,61.5,1405.25,2.0,299.0,0.86,0.016556839575282645,0.03821118306953228,5.090000000000001
2021-03-31,5.771599769592285,116634.0,93.2300033569336,19.399999618530277,59.15999984741211,1436.75,2.75,290.0,0.93,0.044061778423716946,0.01699806249490263,5.95
2021-04-30,5.336400032043457,118894.0,91.27999877929688,18.61000061035156,63.58000183105469,1571.0,2.75,277.0,0.31,-0.07540365841749475,0.0625636282139994,6.569999999999999
2021-05-31,5.23799991607666,126216.0,90.02999877929688,16.760000228881836,66.31999969482422,1530.5,3.5,262.0,0.83,-0.018439418967081567,0.05975410007007762,7.78
2021-06-30,4.955100059509277,126802.0,92.44000244140624,15.829999923706056,73.47000122070312,1450.0,4.25,275.0,0.53,-0.05400913728522527,0.0287745691304991,8.05
2021-07-31,5.080399990081787,121801.0,92.16999816894533,18.239999771118164,73.94999694824219,1414.75,4.25,300.0,0.96,0.025287063645071717,0.039717959046341275,8.65
2021-08-31,5.182899951934815,118781.0,92.62999725341795,16.479999542236328,68.5,1298.75,5.25,304.0,0.87,0.020175569256974724,0.04437977306087744,9.28
2021-09-30,5.414299964904785,110979.0,94.25,23.13999938964844,75.02999877929688,1256.0,6.25,327.0,1.16,0.04464682226474137,0.012908458805898805,9.799999999999999
2021-10-31,5.644899845123291,103501.0,94.12000274658205,16.260000228881836,83.56999969482422,1235.75,7.75,362.0,1.25,0.042590894799557244,0.013573969455617039,10.19
2021-11-30,5.6006999015808105,101915.0,95.98999786376952,27.190000534057617,66.18000030517578,1217.25,7.75,366.0,0.95,-0.00783006691972854,0.029721832931698788,10.25
2021-12-31,5.570199966430664,104822.0,95.66999816894533,17.219999313354492,75.20999908447266,1328.75,9.25,326.0,0.73,-0.005445736369759424,0.028447250444070874,9.629999999999999
2022-01-31,5.362599849700928,112388.0,96.54000091552734,24.82999992370605,88.1500015258789,1490.5,9.25,334.0,0.54,-0.03726977810147891,0.01772545842744558,9.92
2022-02-28,5.15939998626709,113142.0,96.70999908447266,30.149999618530277,95.72000122070312,1644.25,10.75,338.0,1.01,-0.03789204287639891,0.01855586004256302,10.07
2022-03-31,4.769700050354004,119999.0,98.30999755859376,20.559999465942383,100.27999877929688,1618.25,11.75,294.0,1.62,-0.07553202638879719,0.02191329587360193,10.760000000000002
2022-04-30,4.93779993057251,107876.0,102.95999908447266,33.400001525878906,104.69000244140624,1708.25,11.75,306.0,1.06,0.0352432812218515,0.05632748406418128,11.51
2022-05-31,4.752399921417236,111351.0,101.75,26.190000534057617,114.66999816894533,1683.25,12.75,300.0,0.47,-0.037547088128736195,0.05629159525934202,11.15
2022-06-30,5.180900096893311,98542.0,104.69000244140624,28.709999084472656,105.76000213623048,1675.0,13.25,364.0,0.67,0.09016500769326874,0.06406404780640113,11.290000000000001
2022-07-31,5.182700157165527,103165.0,105.9000015258789,21.32999992370605,98.62000274658205,1637.0,13.25,305.0,-0.68,0.00034744161025135334,0.0655916279978692,9.65
2022-08-31,5.1219000816345215,109523.0,108.6999969482422,25.8700008392334,89.55000305175781,1507.5,13.75,285.0,-0.36,-0.011731351165848225,0.055671597128085386,8.42
2022-09-30,5.396200180053711,110037.0,112.12000274658205,31.6200008392334,79.48999786376953,1364.75,13.75,288.0,-0.29,0.0535543634290605,0.03473494468717989,6.970000000000001
2022-10-31,5.28849983215332,116037.0,111.52999877929688,25.8799991607666,86.52999877929688,1407.0,13.75,255.0,0.59,-0.019958553112705113,0.04027832394832821,6.3100000000000005
2022-11-30,5.268199920654297,112486.0,105.9499969482422,20.57999992370605,80.55000305175781,1469.5,13.75,251.0,0.41,-0.003838500925272381,0.03863924140860986,5.7700000000000005
2022-12-31,5.284599781036377,110031.0,103.5199966430664,21.670000076293945,80.26000213623047,1519.25,13.75,256.0,0.62,0.0031129912738852017,0.011835507922510796,5.66
2023-01-31,5.1149001121521,113532.0,102.0999984741211,19.399999618530277,78.87000274658203,1538.0,13.75,258.0,0.53,-0.03211211367287248,0.018657118570429006,5.65
2023-02-28,5.199699878692627,104932.0,104.87000274658205,20.700000762939453,77.05000305175781,1490.5,13.75,248.0,0.84,0.016578968245940517,0.02514279887875969,5.48
2023-03-31,5.092700004577637,101882.0,102.51000213623048,18.700000762939453,75.66999816894531,1505.5,13.75,253.0,0.71,-0.020578086545620655,0.025444390216639776,4.57
2023-04-30,4.976200103759766,104432.0,101.66999816894533,15.779999732971191,76.77999877929688,1444.25,13.75,260.0,0.61,-0.022875861667318698,0.0221457674465392,4.12
2023-05-31,5.034800052642822,108335.0,104.31999969482422,17.940000534057617,68.08999633789062,1299.75,13.75,249.0,0.23,0.011776043499291955,0.019377065623862207,3.8800000000000003
2023-06-30,4.855599880218506,118087.0,102.91000366210938,13.59000015258789,70.63999938964844,1557.25,13.75,230.0,-0.08,-0.03559231162124343,0.024516061734883077,3.13
2023-07-31,4.723299980163574,121943.0,101.86000061035156,13.630000114440918,81.80000305175781,1445.75,13.75,199.0,0.12,-0.02724687027732975,0.025285685204833104,3.9299999999999997
2023-08-31,4.888400077819824,115742.0,103.62000274658205,13.56999969482422,83.62999725341797,1360.0,13.25,209.0,0.23,0.03495439594131655,0.03854755041578508,4.5200000000000005
2023-09-30,5.032800197601318,116565.0,106.16999816894533,17.520000457763672,90.79000091552734,1275.0,12.75,201.0,0.26,0.029539341601085845,0.03445527098575496,5.07
